"","state","year","months","period","colony_n","colony_max","colony_lost","colony_lost_pct","colony_added","colony_reno","colony_reno_pct","Varroa mites","Other pests/parasites","Disesases","Pesticides","Other","Unknown","State.Code","Region","Division"
"119","Colorado",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CO","West","Mountain"
"120","Colorado",2017,"July-September",11,35000,42000,4300,10,2900,6410,15,52.9,1.4,2.6,9.1,7.8,1.4,"CO","West","Mountain"
"121","Colorado",2016,"July-September",7,33000,37000,6500,18,1100,740,2,49.3,22.4,16.8,24.6,10.6,0.1,"CO","West","Mountain"
"122","Colorado",2015,"July-September",3,29000,30000,4500,15,1400,1400,5,50.5,1.5,2.7,16.5,3.7,2.7,"CO","West","Mountain"
"123","Colorado",2018,"July-September",15,34000,35000,5000,14,1500,5000,14,72.6,16.6,5.6,2.9,8.5,4.5,"CO","West","Mountain"
"124","Colorado",2016,"October-December",8,30000,30000,4500,15,2500,NA,NA,32.4,1.3,0.1,3.1,13,0.1,"CO","West","Mountain"
"125","Colorado",2016,"January-March",5,6000,7000,570,8,NA,20,NA,3.5,4.7,0.6,0.3,3,0.2,"CO","West","Mountain"
"126","Colorado",2015,"January-March",1,3500,12500,1500,12,200,140,1,14.6,0.9,1.8,0.6,2.6,5.9,"CO","West","Mountain"
"127","Colorado",2020,"January-March",21,4500,16000,650,4,850,500,3,20.8,NA,0.1,0.4,10.8,2.4,"CO","West","Mountain"
"128","Colorado",2015,"October-December",4,24000,24000,2500,10,3400,NA,NA,47.6,24.4,21.2,19.7,8.4,1.8,"CO","West","Mountain"
"129","Colorado",2015,"April-June",2,12000,25000,1900,8,6000,3500,14,38.6,1.8,4.6,2.8,3.4,6.6,"CO","West","Mountain"
"130","Colorado",2016,"April-June",6,9500,29000,1800,6,9000,680,2,38.7,0.8,3.3,1.4,2.6,0.3,"CO","West","Mountain"
"131","Connecticut",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CT","Northeast","New England"
"132","Connecticut",2020,"January-March",21,3700,4100,330,8,60,NA,NA,11.2,2.9,0.4,NA,2.8,3,"CT","Northeast","New England"
"133","Connecticut",2021,"April-June",26,3800,4000,60,2,960,400,10,16,0.7,0.1,NA,1.2,NA,"CT","Northeast","New England"
"134","Connecticut",2019,"October-December",20,3800,4000,300,8,10,50,1,22.2,11.1,2.4,NA,1.7,1.6,"CT","Northeast","New England"
"135","Connecticut",2020,"July-September",23,4700,4700,300,6,130,150,3,20.2,1.4,NA,NA,4,NA,"CT","Northeast","New England"
"136","Connecticut",2020,"April-June",22,3900,4300,30,1,1200,480,11,14.8,2.1,NA,NA,0.1,0.6,"CT","Northeast","New England"
"137","Connecticut",2016,"October-December",8,3100,3100,240,8,NA,NA,NA,14.7,6.6,1.1,1,5.8,3.2,"CT","Northeast","New England"
"138","Connecticut",2016,"January-March",5,2700,2700,270,10,70,10,NA,12.3,0.8,0.2,NA,7.7,1.7,"CT","Northeast","New England"
"139","Connecticut",2021,"January-March",25,4200,4200,780,19,350,50,1,17.8,3.5,NA,0.5,1.6,1,"CT","Northeast","New England"
"140","Connecticut",2020,"October-December",24,4300,4600,500,11,20,20,NA,49.4,0.9,0.1,NA,4.3,8.2,"CT","Northeast","New England"
"141","Connecticut",2017,"April-June",10,3000,3000,140,5,2200,350,12,9.7,0.2,NA,0.5,2,0.7,"CT","Northeast","New England"
"142","Connecticut",2018,"January-March",13,2900,2900,140,5,220,330,11,14.5,0.7,NA,0.8,7.7,3.5,"CT","Northeast","New England"
"143","Connecticut",2016,"July-September",7,3100,3100,270,9,890,180,6,18.8,1.6,NA,0.2,5,0.8,"CT","Northeast","New England"
"144","Connecticut",2019,"July-September",19,4400,4400,200,5,70,470,11,24.3,6.9,2.4,NA,3.9,0.5,"CT","Northeast","New England"
"145","Connecticut",2016,"April-June",6,2500,2500,100,4,390,60,2,9.3,0.6,0.5,0.3,4.4,1.2,"CT","Northeast","New England"
"146","Connecticut",2015,"January-March",1,3900,3900,870,22,290,NA,NA,2.5,1.4,NA,NA,21.2,2.4,"CT","Northeast","New England"
"147","Connecticut",2019,"January-March",17,3100,3100,270,9,170,10,NA,10.1,1.3,NA,NA,3.6,1.7,"CT","Northeast","New England"
"148","Connecticut",2015,"July-September",3,3700,3700,50,1,190,440,12,39.3,1.2,0.4,1.5,7.8,NA,"CT","Northeast","New England"
"149","Connecticut",2015,"April-June",2,3000,3000,80,3,1100,150,5,10.2,0.4,1.9,0.8,1,0.7,"CT","Northeast","New England"
"150","Connecticut",2017,"July-September",11,3500,3500,130,4,50,20,1,25.1,1.5,0.1,NA,13,NA,"CT","Northeast","New England"
"151","Connecticut",2015,"October-December",4,3200,3200,210,7,40,70,2,10.5,1.7,0.5,1.1,3.4,2,"CT","Northeast","New England"
"152","Connecticut",2018,"July-September",15,3200,3200,130,4,80,310,10,13,NA,NA,1.4,2.5,1.2,"CT","Northeast","New England"
"153","Connecticut",2018,"April-June",14,3600,3600,120,3,340,170,5,11.1,0.9,0.4,0.8,0.8,0.4,"CT","Northeast","New England"
"154","Connecticut",2017,"January-March",9,3100,3100,380,12,100,110,4,51.5,1.5,NA,NA,6.1,5.6,"CT","Northeast","New England"
"155","Connecticut",2018,"October-December",16,3500,3500,220,6,NA,60,2,12.5,3.6,2.3,0.9,4.2,2.3,"CT","Northeast","New England"
"156","Connecticut",2017,"October-December",12,4000,4000,330,8,190,110,3,36.4,2.8,NA,0.6,1.6,1.6,"CT","Northeast","New England"
"157","Florida",2018,"January-March",13,245000,255000,35000,14,57000,38000,15,31.7,15.3,4.5,9.2,5.5,16,"FL","South","South Atlantic"
"158","Florida",2015,"April-June",2,210000,215000,35000,16,44000,24000,11,44.2,26.4,2.7,17.7,13.6,5.4,"FL","South","South Atlantic"
"159","Florida",2021,"April-June",26,3e+05,3e+05,33000,11,52000,31000,10,43.3,22.8,4.3,10.2,6.3,7.7,"FL","South","South Atlantic"
"160","Florida",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL","South","South Atlantic"
"161","Florida",2020,"July-September",23,220000,230000,29000,13,36000,31000,13,42.2,19.9,12.8,14.8,7.9,10.9,"FL","South","South Atlantic"
"162","Florida",2020,"January-March",21,295000,310000,30000,10,41000,8000,3,28,14.2,5.5,5.3,8.7,10.9,"FL","South","South Atlantic"
"163","Florida",2015,"January-March",1,305000,315000,42000,13,54000,25000,8,22.3,13.5,0.8,8.9,5.1,4.4,"FL","South","South Atlantic"
"164","Florida",2021,"January-March",25,3e+05,305000,31000,10,42000,17000,6,34.7,11.9,5.6,6.6,6.3,3.4,"FL","South","South Atlantic"
"165","Florida",2019,"October-December",20,270000,3e+05,30000,10,28000,15000,5,43.5,25.6,7.8,11.7,7.8,4.8,"FL","South","South Atlantic"
"166","Florida",2019,"July-September",19,210000,240000,20000,8,46000,33000,14,44.9,20.7,6.3,18.2,11.7,10.8,"FL","South","South Atlantic"
"167","Florida",2018,"July-September",15,197000,220000,30000,14,53000,40000,18,35,20.5,4.2,7.6,14.3,9.8,"FL","South","South Atlantic"
"168","Florida",2016,"January-March",5,245000,265000,45000,17,36000,18500,7,21.7,6.3,0.5,5.4,1.9,1.5,"FL","South","South Atlantic"
"169","Florida",2017,"January-March",9,260000,265000,30000,11,80000,33000,12,37.6,14.8,1.5,14.2,6.2,17.9,"FL","South","South Atlantic"
"170","Florida",2017,"July-September",11,176000,180000,39000,22,39000,42000,23,42.9,13.2,3.7,6.3,11.4,21.5,"FL","South","South Atlantic"
"171","Florida",2018,"April-June",14,270000,280000,48000,17,54000,69000,25,45,27.6,9.7,15.6,10.1,21.1,"FL","South","South Atlantic"
"172","Florida",2019,"January-March",17,3e+05,315000,46000,15,41000,16500,5,46.9,24.8,5.5,22.9,7.4,5.5,"FL","South","South Atlantic"
"173","Florida",2015,"October-December",4,220000,260000,37000,14,30000,28000,11,27.3,18.4,2.5,6.8,3,4.2,"FL","South","South Atlantic"
"174","Florida",2018,"October-December",16,240000,290000,43000,15,53000,20000,7,46.7,22.4,9,14.1,8,6.7,"FL","South","South Atlantic"
"175","Florida",2015,"July-September",3,164000,220000,36000,16,37000,29000,13,39.5,21.7,6.7,22.9,21.9,3.4,"FL","South","South Atlantic"
"176","Florida",2016,"October-December",8,255000,3e+05,41000,14,31000,11500,4,30.9,27.1,7.7,17,13.6,6.5,"FL","South","South Atlantic"
"177","Florida",2016,"July-September",7,2e+05,220000,25000,11,62000,14500,7,45.1,23.4,2.7,9.9,8.5,1.8,"FL","South","South Atlantic"
"178","Florida",2017,"October-December",12,180000,240000,50000,21,55000,36000,15,41.4,16.8,7.5,10.4,7.6,26.2,"FL","South","South Atlantic"
"179","Florida",2020,"October-December",24,240000,290000,29000,10,50000,17500,6,45.7,21.7,10.4,19.6,2.3,7.5,"FL","South","South Atlantic"
"180","Florida",2016,"April-June",6,240000,240000,29000,12,43000,21000,9,48.2,23.3,10,11.6,10.1,2,"FL","South","South Atlantic"
"181","Florida",2017,"April-June",10,245000,250000,25000,10,40000,50000,20,36.3,14.3,6.1,9,6.4,18.6,"FL","South","South Atlantic"
"182","Florida",2020,"April-June",22,325000,325000,39000,12,36000,23000,7,31.4,15.2,3.2,5.5,5.5,7.5,"FL","South","South Atlantic"
"183","Georgia",2015,"January-March",1,104000,105000,14500,14,47000,9500,9,6.2,4.9,3.3,2.6,4.8,10.5,"GA","South","South Atlantic"
"184","Georgia",2016,"January-March",5,1e+05,1e+05,20000,20,28000,6000,6,32.2,7.7,2.1,21.3,3.1,3.9,"GA","South","South Atlantic"
"185","Georgia",2021,"January-March",25,120000,120000,20000,17,34000,14500,12,47.9,14.4,8.9,1.5,4.1,4.6,"GA","South","South Atlantic"
"186","Georgia",2018,"October-December",16,148000,164000,19500,12,6500,49000,30,41.4,17.4,9.2,6.9,5.6,7.8,"GA","South","South Atlantic"
"187","Georgia",2016,"July-September",7,102000,103000,13000,13,12500,2300,2,30.7,16.4,2.4,12.1,7.6,4.5,"GA","South","South Atlantic"
"188","Georgia",2015,"April-June",2,114000,124000,23000,19,25000,19000,15,52.8,17.5,2.9,28.7,11.5,4.1,"GA","South","South Atlantic"
"189","Georgia",2019,"July-September",19,116000,118000,13000,11,12000,36000,31,52.5,18.6,1.6,25.8,17.1,4.6,"GA","South","South Atlantic"
"190","Georgia",2016,"October-December",8,96000,112000,11000,10,12000,450,NA,43.6,8.6,3.7,7.6,4.1,2.5,"GA","South","South Atlantic"
"191","Georgia",2018,"January-March",13,134000,139000,25000,18,29000,39000,28,39.6,18.7,0.9,14.8,27.1,2.1,"GA","South","South Atlantic"
"192","Georgia",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GA","South","South Atlantic"
