"","state","year","months","period","colony_n","colony_max","colony_lost","colony_lost_pct","colony_added","colony_reno","colony_reno_pct","stressor","stress_pct","State.Code","Region","Division"
"28","Alabama",2015,"July-September",3,8500,9000,1400,16,160,260,3,"Other pests/parasites",70.6,"AL","South","East South Central"
"29","Alabama",2015,"January-March",1,7000,7000,1800,26,2800,250,4,"Varroa mites",10,"AL","South","East South Central"
"30","Alabama",2020,"April-June",22,8500,8500,4100,48,4700,2620,31,"Other pests/parasites",18,"AL","South","East South Central"
"31","Alabama",2017,"April-June",10,6500,6500,440,7,1200,500,8,"Other pests/parasites",13.6,"AL","South","East South Central"
"32","Alabama",2020,"July-September",23,9000,19000,3700,19,1800,990,5,"Disesases",NA,"AL","South","East South Central"
"33","Alabama",2018,"January-March",13,7500,7500,820,11,1200,1500,20,"Unknown",4.5,"AL","South","East South Central"
"34","Alabama",2016,"April-June",6,8000,8000,930,12,1200,690,9,"Pesticides",1.7,"AL","South","East South Central"
"35","Alabama",2019,"January-March",17,5500,5500,650,12,800,200,4,"Other",3.1,"AL","South","East South Central"
"36","Alabama",2016,"July-September",7,8000,8000,1200,15,440,50,1,"Unknown",13.8,"AL","South","East South Central"
"37","Alabama",2017,"October-December",12,7500,7500,990,13,550,500,7,"Varroa mites",22.3,"AL","South","East South Central"
"38","Alabama",2015,"October-December",4,8000,8000,610,8,80,60,1,"Disesases",0.2,"AL","South","East South Central"
"39","Alabama",2018,"April-June",14,7500,8500,810,10,1300,710,8,"Other pests/parasites",25.5,"AL","South","East South Central"
"40","Alabama",2018,"January-March",13,7500,7500,820,11,1200,1500,20,"Other",8.6,"AL","South","East South Central"
"41","Alabama",2016,"January-March",5,7500,7500,1700,23,1200,180,2,"Unknown",11.3,"AL","South","East South Central"
"42","Alabama",2020,"April-June",22,8500,8500,4100,48,4700,2620,31,"Varroa mites",28.5,"AL","South","East South Central"
"43","Alabama",2017,"July-September",11,7000,9500,900,9,690,530,6,"Varroa mites",69.5,"AL","South","East South Central"
"44","Alabama",2019,"October-December",20,6000,6000,660,11,240,70,1,"Varroa mites",46.7,"AL","South","East South Central"
"45","Alabama",2018,"January-March",13,7500,7500,820,11,1200,1500,20,"Pesticides",14.9,"AL","South","East South Central"
"46","Alabama",2016,"April-June",6,8000,8000,930,12,1200,690,9,"Unknown",5.4,"AL","South","East South Central"
"47","Alabama",2016,"April-June",6,8000,8000,930,12,1200,690,9,"Disesases",0.3,"AL","South","East South Central"
"48","Alabama",2016,"October-December",8,7000,7000,610,9,50,10,NA,"Unknown",3.3,"AL","South","East South Central"
"49","Alabama",2016,"January-March",5,7500,7500,1700,23,1200,180,2,"Disesases",4.3,"AL","South","East South Central"
"50","Alabama",2020,"July-September",23,9000,19000,3700,19,1800,990,5,"Varroa mites",64.9,"AL","South","East South Central"
"51","Alabama",2015,"October-December",4,8000,8000,610,8,80,60,1,"Other pests/parasites",6.4,"AL","South","East South Central"
"52","Alabama",2015,"July-September",3,8500,9000,1400,16,160,260,3,"Varroa mites",63.1,"AL","South","East South Central"
"53","Alabama",2016,"January-March",5,7500,7500,1700,23,1200,180,2,"Other",2.4,"AL","South","East South Central"
"54","Alabama",2020,"July-September",23,9000,19000,3700,19,1800,990,5,"Other pests/parasites",29.1,"AL","South","East South Central"
"55","Alabama",2018,"July-September",15,8500,8500,1700,20,1600,1300,15,"Unknown",6.8,"AL","South","East South Central"
"56","Alabama",2020,"July-September",23,9000,19000,3700,19,1800,990,5,"Pesticides",12,"AL","South","East South Central"
"57","Alabama",2017,"July-September",11,7000,9500,900,9,690,530,6,"Other pests/parasites",22.1,"AL","South","East South Central"
"58","Alabama",2017,"July-September",11,7000,9500,900,9,690,530,6,"Disesases",NA,"AL","South","East South Central"
"59","Alabama",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,"Varroa mites",NA,"AL","South","East South Central"
"60","Alabama",2019,"January-March",17,5500,5500,650,12,800,200,4,"Unknown",9,"AL","South","East South Central"
"61","Alabama",2021,"January-March",25,10000,10000,1200,12,670,200,2,"Varroa mites",52.2,"AL","South","East South Central"
"62","Alabama",2021,"April-June",26,9500,9500,2700,28,2800,930,10,"Varroa mites",55.2,"AL","South","East South Central"
"63","Alabama",2016,"July-September",7,8000,8000,1200,15,440,50,1,"Disesases",NA,"AL","South","East South Central"
"64","Alabama",2021,"January-March",25,10000,10000,1200,12,670,200,2,"Unknown",4,"AL","South","East South Central"
"65","Alabama",2021,"January-March",25,10000,10000,1200,12,670,200,2,"Other",3.1,"AL","South","East South Central"
"66","Alabama",2018,"January-March",13,7500,7500,820,11,1200,1500,20,"Disesases",1.9,"AL","South","East South Central"
"67","Alabama",2018,"July-September",15,8500,8500,1700,20,1600,1300,15,"Disesases",0.7,"AL","South","East South Central"
"68","Alabama",2020,"October-December",24,17000,17000,1100,6,750,60,NA,"Other pests/parasites",43.2,"AL","South","East South Central"
"69","Alabama",2018,"April-June",14,7500,8500,810,10,1300,710,8,"Disesases",1.2,"AL","South","East South Central"
"70","Alabama",2020,"January-March",21,5500,8000,410,5,1000,780,10,"Disesases",NA,"AL","South","East South Central"
"71","Alabama",2020,"April-June",22,8500,8500,4100,48,4700,2620,31,"Disesases",1.6,"AL","South","East South Central"
"72","Alabama",2017,"July-September",11,7000,9500,900,9,690,530,6,"Unknown",3.9,"AL","South","East South Central"
"73","Alabama",2016,"October-December",8,7000,7000,610,9,50,10,NA,"Varroa mites",12.3,"AL","South","East South Central"
"74","Alabama",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,"Other pests/parasites",NA,"AL","South","East South Central"
"75","Alabama",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,"Disesases",NA,"AL","South","East South Central"
"76","Alabama",2021,"January-March",25,10000,10000,1200,12,670,200,2,"Disesases",NA,"AL","South","East South Central"
"77","Alabama",2018,"January-March",13,7500,7500,820,11,1200,1500,20,"Varroa mites",29.2,"AL","South","East South Central"
"78","Alabama",2018,"January-March",13,7500,7500,820,11,1200,1500,20,"Other pests/parasites",30.2,"AL","South","East South Central"
"79","Alabama",2016,"July-September",7,8000,8000,1200,15,440,50,1,"Other",3.2,"AL","South","East South Central"
"80","Alabama",2016,"July-September",7,8000,8000,1200,15,440,50,1,"Pesticides",3.8,"AL","South","East South Central"
"81","Alabama",2018,"October-December",16,6500,6500,830,13,210,1300,20,"Unknown",7.5,"AL","South","East South Central"
"82","Alabama",2020,"January-March",21,5500,8000,410,5,1000,780,10,"Varroa mites",12.4,"AL","South","East South Central"
"83","Alabama",2017,"October-December",12,7500,7500,990,13,550,500,7,"Other pests/parasites",10.1,"AL","South","East South Central"
"84","Alabama",2017,"April-June",10,6500,6500,440,7,1200,500,8,"Varroa mites",17.9,"AL","South","East South Central"
"85","Alabama",2019,"October-December",20,6000,6000,660,11,240,70,1,"Other pests/parasites",26.7,"AL","South","East South Central"
"86","Alabama",2019,"January-March",17,5500,5500,650,12,800,200,4,"Varroa mites",27.2,"AL","South","East South Central"
"87","Alabama",2016,"January-March",5,7500,7500,1700,23,1200,180,2,"Varroa mites",24.2,"AL","South","East South Central"
"88","Alabama",2016,"January-March",5,7500,7500,1700,23,1200,180,2,"Other pests/parasites",22,"AL","South","East South Central"
"89","Alabama",2016,"April-June",6,8000,8000,930,12,1200,690,9,"Other pests/parasites",8.2,"AL","South","East South Central"
"90","Alabama",2016,"October-December",8,7000,7000,610,9,50,10,NA,"Pesticides",2.4,"AL","South","East South Central"
"91","Alabama",2015,"October-December",4,8000,8000,610,8,80,60,1,"Varroa mites",3.1,"AL","South","East South Central"
"92","Alabama",2020,"October-December",24,17000,17000,1100,6,750,60,NA,"Varroa mites",50.8,"AL","South","East South Central"
"93","Alabama",2021,"April-June",26,9500,9500,2700,28,2800,930,10,"Disesases",0.5,"AL","South","East South Central"
"94","Alabama",2021,"January-March",25,10000,10000,1200,12,670,200,2,"Pesticides",NA,"AL","South","East South Central"
"95","Alabama",2018,"October-December",16,6500,6500,830,13,210,1300,20,"Other",3.4,"AL","South","East South Central"
"96","Alabama",2020,"January-March",21,5500,8000,410,5,1000,780,10,"Other pests/parasites",3.4,"AL","South","East South Central"
"97","Alabama",2020,"October-December",24,17000,17000,1100,6,750,60,NA,"Unknown",16.9,"AL","South","East South Central"
"98","Alabama",2017,"October-December",12,7500,7500,990,13,550,500,7,"Unknown",5.2,"AL","South","East South Central"
"99","Alabama",2017,"October-December",12,7500,7500,990,13,550,500,7,"Other",1.7,"AL","South","East South Central"
"100","Alabama",2019,"January-March",17,5500,5500,650,12,800,200,4,"Other pests/parasites",22.7,"AL","South","East South Central"
"101","Alabama",2019,"January-March",17,5500,5500,650,12,800,200,4,"Disesases",1.8,"AL","South","East South Central"
"102","Alabama",2019,"January-March",17,5500,5500,650,12,800,200,4,"Pesticides",0.3,"AL","South","East South Central"
"103","Alabama",2018,"October-December",16,6500,6500,830,13,210,1300,20,"Varroa mites",20.6,"AL","South","East South Central"
"104","Alabama",2021,"April-June",26,9500,9500,2700,28,2800,930,10,"Other pests/parasites",45,"AL","South","East South Central"
"105","Alabama",2018,"July-September",15,8500,8500,1700,20,1600,1300,15,"Other pests/parasites",69.4,"AL","South","East South Central"
"106","Alabama",2018,"April-June",14,7500,8500,810,10,1300,710,8,"Varroa mites",23.6,"AL","South","East South Central"
"107","Alabama",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,"Other",NA,"AL","South","East South Central"
"108","Alabama",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,"AL","South","East South Central"
"109","Alabama",2018,"July-September",15,8500,8500,1700,20,1600,1300,15,"Pesticides",14.6,"AL","South","East South Central"
"110","Alabama",2018,"April-June",14,7500,8500,810,10,1300,710,8,"Pesticides",13.1,"AL","South","East South Central"
"111","Alabama",2020,"January-March",21,5500,8000,410,5,1000,780,10,"Pesticides",0.1,"AL","South","East South Central"
"112","Alabama",2018,"April-June",14,7500,8500,810,10,1300,710,8,"Unknown",2.1,"AL","South","East South Central"
"113","Alabama",2017,"April-June",10,6500,6500,440,7,1200,500,8,"Disesases",NA,"AL","South","East South Central"
"114","Alabama",2016,"October-December",8,7000,7000,610,9,50,10,NA,"Other pests/parasites",9.9,"AL","South","East South Central"
"115","Alabama",2016,"April-June",6,8000,8000,930,12,1200,690,9,"Varroa mites",9.6,"AL","South","East South Central"
"116","Alabama",2017,"April-June",10,6500,6500,440,7,1200,500,8,"Unknown",5.3,"AL","South","East South Central"
"117","Alabama",2018,"July-September",15,8500,8500,1700,20,1600,1300,15,"Varroa mites",77.5,"AL","South","East South Central"
"118","Alabama",2018,"October-December",16,6500,6500,830,13,210,1300,20,"Other pests/parasites",20.5,"AL","South","East South Central"
"119","Alabama",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,"Pesticides",NA,"AL","South","East South Central"
"120","Alabama",2019,"July-September",19,7000,7000,990,14,160,330,5,"Other",9.7,"AL","South","East South Central"
"121","Alabama",2020,"October-December",24,17000,17000,1100,6,750,60,NA,"Other",2.3,"AL","South","East South Central"
"122","Alabama",2021,"April-June",26,9500,9500,2700,28,2800,930,10,"Pesticides",2.1,"AL","South","East South Central"
"123","Alabama",2020,"October-December",24,17000,17000,1100,6,750,60,NA,"Disesases",15.4,"AL","South","East South Central"
"124","Alabama",2018,"April-June",14,7500,8500,810,10,1300,710,8,"Other",11.5,"AL","South","East South Central"
"125","Alabama",2019,"July-September",19,7000,7000,990,14,160,330,5,"Unknown",6.4,"AL","South","East South Central"
"126","Alabama",2019,"July-September",19,7000,7000,990,14,160,330,5,"Varroa mites",30.6,"AL","South","East South Central"
"127","Alabama",2019,"July-September",19,7000,7000,990,14,160,330,5,"Other pests/parasites",24.6,"AL","South","East South Central"
"128","Alabama",2019,"July-September",19,7000,7000,990,14,160,330,5,"Disesases",2.9,"AL","South","East South Central"
"129","Alabama",2021,"April-June",26,9500,9500,2700,28,2800,930,10,"Unknown",26,"AL","South","East South Central"
"130","Alabama",2017,"January-March",9,7000,7000,1600,23,570,730,10,"Unknown",10.4,"AL","South","East South Central"
"131","Alabama",2017,"January-March",9,7000,7000,1600,23,570,730,10,"Other",7.5,"AL","South","East South Central"
"132","Alabama",2016,"July-September",7,8000,8000,1200,15,440,50,1,"Varroa mites",11.7,"AL","South","East South Central"
"133","Alabama",2017,"April-June",10,6500,6500,440,7,1200,500,8,"Pesticides",4.2,"AL","South","East South Central"
"134","Alabama",2017,"April-June",10,6500,6500,440,7,1200,500,8,"Other",9.4,"AL","South","East South Central"
"135","Alabama",2018,"October-December",16,6500,6500,830,13,210,1300,20,"Pesticides",1.5,"AL","South","East South Central"
"136","Alabama",2017,"January-March",9,7000,7000,1600,23,570,730,10,"Disesases",0.2,"AL","South","East South Central"
"137","Alabama",2020,"April-June",22,8500,8500,4100,48,4700,2620,31,"Pesticides",7.7,"AL","South","East South Central"
"138","Alabama",2018,"July-September",15,8500,8500,1700,20,1600,1300,15,"Other",7.8,"AL","South","East South Central"
"139","Alabama",2017,"January-March",9,7000,7000,1600,23,570,730,10,"Other pests/parasites",10.9,"AL","South","East South Central"
"140","Alabama",2016,"October-December",8,7000,7000,610,9,50,10,NA,"Disesases",0.2,"AL","South","East South Central"
"141","Alabama",2019,"October-December",20,6000,6000,660,11,240,70,1,"Pesticides",4.9,"AL","South","East South Central"
"142","Alabama",2019,"October-December",20,6000,6000,660,11,240,70,1,"Disesases",0.6,"AL","South","East South Central"
"143","Alabama",2019,"July-September",19,7000,7000,990,14,160,330,5,"Pesticides",0.2,"AL","South","East South Central"
"144","Alabama",2018,"October-December",16,6500,6500,830,13,210,1300,20,"Disesases",1.3,"AL","South","East South Central"
"145","Alabama",2020,"October-December",24,17000,17000,1100,6,750,60,NA,"Pesticides",2,"AL","South","East South Central"
"146","Alabama",2017,"October-December",12,7500,7500,990,13,550,500,7,"Pesticides",9.5,"AL","South","East South Central"
"147","Alabama",2019,"October-December",20,6000,6000,660,11,240,70,1,"Unknown",11.3,"AL","South","East South Central"
"148","Alabama",2017,"October-December",12,7500,7500,990,13,550,500,7,"Disesases",8.8,"AL","South","East South Central"
"149","Alabama",2019,"October-December",20,6000,6000,660,11,240,70,1,"Other",9,"AL","South","East South Central"
"150","Alabama",2017,"January-March",9,7000,7000,1600,23,570,730,10,"Pesticides",3.6,"AL","South","East South Central"
"151","Alabama",2021,"April-June",26,9500,9500,2700,28,2800,930,10,"Other",5.8,"AL","South","East South Central"
"152","Alabama",2016,"July-September",7,8000,8000,1200,15,440,50,1,"Other pests/parasites",42,"AL","South","East South Central"
"153","Alabama",2020,"April-June",22,8500,8500,4100,48,4700,2620,31,"Other",7.9,"AL","South","East South Central"
"154","Alabama",2017,"July-September",11,7000,9500,900,9,690,530,6,"Pesticides",35.4,"AL","South","East South Central"
"155","Alabama",2017,"July-September",11,7000,9500,900,9,690,530,6,"Other",7.5,"AL","South","East South Central"
"156","Alabama",2020,"April-June",22,8500,8500,4100,48,4700,2620,31,"Unknown",9.5,"AL","South","East South Central"
"157","Arizona",2016,"January-March",5,30000,30000,4700,16,2200,960,3,"Other",6.5,"AZ","West","Mountain"
"158","Arizona",2015,"January-March",1,35000,35000,4600,13,3400,2100,6,"Other pests/parasites",20.5,"AZ","West","Mountain"
"159","Arizona",2015,"April-June",2,33000,33000,5500,17,19500,7000,21,"Disesases",0.5,"AZ","West","Mountain"
"160","Arizona",2015,"January-March",1,35000,35000,4600,13,3400,2100,6,"Disesases",0.1,"AZ","West","Mountain"
"161","Arizona",2015,"April-June",2,33000,33000,5500,17,19500,7000,21,"Other pests/parasites",32.1,"AZ","West","Mountain"
"162","Arizona",2015,"January-March",1,35000,35000,4600,13,3400,2100,6,"Varroa mites",26.9,"AZ","West","Mountain"
"163","Arizona",2015,"October-December",4,36000,39000,12000,31,3000,16000,41,"Other pests/parasites",1.7,"AZ","West","Mountain"
"164","Arizona",2016,"October-December",8,29000,31000,6500,21,4600,3100,10,"Other",4.3,"AZ","West","Mountain"
"165","Arizona",2015,"April-June",2,33000,33000,5500,17,19500,7000,21,"Varroa mites",8.4,"AZ","West","Mountain"
"166","Arizona",2015,"July-September",3,40000,40000,6000,15,4300,15500,39,"Other pests/parasites",24.8,"AZ","West","Mountain"
"167","Arizona",2020,"January-March",21,29000,32000,6500,20,150,120,NA,"Varroa mites",31.7,"AZ","West","Mountain"
"168","Arizona",2016,"July-September",7,30000,32000,6000,19,3200,2600,8,"Other",13.4,"AZ","West","Mountain"
"169","Arizona",2015,"October-December",4,36000,39000,12000,31,3000,16000,41,"Disesases",1.1,"AZ","West","Mountain"
"170","Arizona",2016,"April-June",6,22000,23000,3700,16,14000,1600,7,"Pesticides",12,"AZ","West","Mountain"
"171","Arizona",2015,"July-September",3,40000,40000,6000,15,4300,15500,39,"Varroa mites",53.5,"AZ","West","Mountain"
"172","Arizona",2015,"October-December",4,36000,39000,12000,31,3000,16000,41,"Varroa mites",50.1,"AZ","West","Mountain"
"173","Arizona",2015,"July-September",3,40000,40000,6000,15,4300,15500,39,"Disesases",5.4,"AZ","West","Mountain"
"174","Arizona",2016,"April-June",6,22000,23000,3700,16,14000,1600,7,"Disesases",17.2,"AZ","West","Mountain"
"175","Arizona",2016,"July-September",7,30000,32000,6000,19,3200,2600,8,"Pesticides",13.5,"AZ","West","Mountain"
"176","Arizona",2015,"October-December",4,36000,39000,12000,31,3000,16000,41,"Pesticides",3.5,"AZ","West","Mountain"
"177","Arizona",2016,"January-March",5,30000,30000,4700,16,2200,960,3,"Other pests/parasites",2.8,"AZ","West","Mountain"
"178","Arizona",2016,"July-September",7,30000,32000,6000,19,3200,2600,8,"Unknown",8.9,"AZ","West","Mountain"
"179","Arizona",2017,"April-June",10,22000,22000,2600,12,12500,3000,14,"Unknown",0.7,"AZ","West","Mountain"
"180","Arizona",2015,"January-March",1,35000,35000,4600,13,3400,2100,6,"Other",1.8,"AZ","West","Mountain"
"181","Arizona",2018,"January-March",13,25000,26000,6000,23,810,230,1,"Other pests/parasites",4.3,"AZ","West","Mountain"
"182","Arizona",2016,"April-June",6,22000,23000,3700,16,14000,1600,7,"Unknown",3.5,"AZ","West","Mountain"
"183","Arizona",2015,"July-September",3,40000,40000,6000,15,4300,15500,39,"Pesticides",17.3,"AZ","West","Mountain"
"184","Arizona",2016,"April-June",6,22000,23000,3700,16,14000,1600,7,"Other pests/parasites",47.5,"AZ","West","Mountain"
"185","Arizona",2016,"October-December",8,29000,31000,6500,21,4600,3100,10,"Pesticides",6.5,"AZ","West","Mountain"
"186","Arizona",2016,"July-September",7,30000,32000,6000,19,3200,2600,8,"Other pests/parasites",1,"AZ","West","Mountain"
"187","Arizona",2017,"July-September",11,26000,26000,4100,16,5000,3200,12,"Unknown",6.3,"AZ","West","Mountain"
"188","Arizona",2018,"January-March",13,25000,26000,6000,23,810,230,1,"Varroa mites",36.3,"AZ","West","Mountain"
"189","Arizona",2016,"April-June",6,22000,23000,3700,16,14000,1600,7,"Other",17.4,"AZ","West","Mountain"
"190","Arizona",2020,"July-September",23,28000,30000,8000,27,2600,1800,6,"Varroa mites",24.1,"AZ","West","Mountain"
"191","Arizona",2016,"October-December",8,29000,31000,6500,21,4600,3100,10,"Unknown",3.2,"AZ","West","Mountain"
"192","Arizona",2016,"January-March",5,30000,30000,4700,16,2200,960,3,"Unknown",7.2,"AZ","West","Mountain"
"193","Arizona",2020,"July-September",23,28000,30000,8000,27,2600,1800,6,"Disesases",1.9,"AZ","West","Mountain"
"194","Arizona",2015,"April-June",2,33000,33000,5500,17,19500,7000,21,"Pesticides",20.1,"AZ","West","Mountain"
"195","Arizona",2020,"July-September",23,28000,30000,8000,27,2600,1800,6,"Other pests/parasites",NA,"AZ","West","Mountain"
"196","Arizona",2015,"April-June",2,33000,33000,5500,17,19500,7000,21,"Other",28.2,"AZ","West","Mountain"
"197","Arizona",2017,"April-June",10,22000,22000,2600,12,12500,3000,14,"Pesticides",12.2,"AZ","West","Mountain"
"198","Arizona",2016,"January-March",5,30000,30000,4700,16,2200,960,3,"Varroa mites",32.8,"AZ","West","Mountain"
"199","Arizona",2021,"January-March",25,29000,29000,7000,24,3500,180,1,"Varroa mites",4.6,"AZ","West","Mountain"
"200","Arizona",2016,"January-March",5,30000,30000,4700,16,2200,960,3,"Disesases",NA,"AZ","West","Mountain"
"201","Arizona",2017,"April-June",10,22000,22000,2600,12,12500,3000,14,"Other",20.1,"AZ","West","Mountain"
"202","Arizona",2016,"January-March",5,30000,30000,4700,16,2200,960,3,"Pesticides",7.7,"AZ","West","Mountain"
"203","Arizona",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,"Other",NA,"AZ","West","Mountain"
"204","Arizona",2018,"July-September",15,31000,31000,8000,26,3200,3100,10,"Other pests/parasites",2.3,"AZ","West","Mountain"
"205","Arizona",2020,"October-December",24,25000,27000,4000,15,5500,600,2,"Other pests/parasites",NA,"AZ","West","Mountain"
"206","Arizona",2018,"January-March",13,25000,26000,6000,23,810,230,1,"Pesticides",15.3,"AZ","West","Mountain"
"207","Arizona",2015,"January-March",1,35000,35000,4600,13,3400,2100,6,"Pesticides",NA,"AZ","West","Mountain"
"208","Arizona",2017,"October-December",12,27000,30000,6500,22,1300,1100,4,"Other pests/parasites",4.2,"AZ","West","Mountain"
"209","Arizona",2019,"January-March",17,22000,22000,2500,11,430,90,NA,"Varroa mites",25.8,"AZ","West","Mountain"
"210","Arizona",2015,"July-September",3,40000,40000,6000,15,4300,15500,39,"Other",7.6,"AZ","West","Mountain"
"211","Arizona",2016,"April-June",6,22000,23000,3700,16,14000,1600,7,"Varroa mites",26.8,"AZ","West","Mountain"
"212","Arizona",2016,"October-December",8,29000,31000,6500,21,4600,3100,10,"Disesases",2.3,"AZ","West","Mountain"
"213","Arizona",2016,"July-September",7,30000,32000,6000,19,3200,2600,8,"Disesases",0.9,"AZ","West","Mountain"
"214","Arizona",2021,"January-March",25,29000,29000,7000,24,3500,180,1,"Other pests/parasites",5.9,"AZ","West","Mountain"
"215","Arizona",2017,"January-March",9,31000,32000,6000,19,2900,NA,NA,"Unknown",2.1,"AZ","West","Mountain"
"216","Arizona",2021,"January-March",25,29000,29000,7000,24,3500,180,1,"Disesases",5.9,"AZ","West","Mountain"
"217","Arizona",2021,"January-March",25,29000,29000,7000,24,3500,180,1,"Pesticides",NA,"AZ","West","Mountain"
"218","Arizona",2018,"January-March",13,25000,26000,6000,23,810,230,1,"Disesases",4.6,"AZ","West","Mountain"
"219","Arizona",2021,"April-June",26,26000,26000,4200,16,8500,7500,29,"Pesticides",1.2,"AZ","West","Mountain"
"220","Arizona",2017,"October-December",12,27000,30000,6500,22,1300,1100,4,"Varroa mites",61.6,"AZ","West","Mountain"
"221","Arizona",2020,"January-March",21,29000,32000,6500,20,150,120,NA,"Other pests/parasites",0.1,"AZ","West","Mountain"
"222","Arizona",2017,"July-September",11,26000,26000,4100,16,5000,3200,12,"Other pests/parasites",0.4,"AZ","West","Mountain"
"223","Arizona",2016,"October-December",8,29000,31000,6500,21,4600,3100,10,"Other pests/parasites",15.5,"AZ","West","Mountain"
"224","Arizona",2017,"July-September",11,26000,26000,4100,16,5000,3200,12,"Other",12.4,"AZ","West","Mountain"
"225","Arizona",2015,"October-December",4,36000,39000,12000,31,3000,16000,41,"Unknown",15.5,"AZ","West","Mountain"
"226","Arizona",2016,"July-September",7,30000,32000,6000,19,3200,2600,8,"Varroa mites",41.7,"AZ","West","Mountain"
"227","Arizona",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,"Disesases",NA,"AZ","West","Mountain"
"228","Arizona",2019,"April-June",18,NA,NA,NA,NA,NA,NA,NA,"Pesticides",NA,"AZ","West","Mountain"
"229","Arizona",2018,"October-December",16,26000,27000,5000,19,2200,330,1,"Varroa mites",20.6,"AZ","West","Mountain"
"230","Arizona",2018,"October-December",16,26000,27000,5000,19,2200,330,1,"Other pests/parasites",8.3,"AZ","West","Mountain"
"231","Arizona",2021,"January-March",25,29000,29000,7000,24,3500,180,1,"Other",0.5,"AZ","West","Mountain"
"232","Arizona",2018,"April-June",14,18500,19500,2600,13,12000,2100,11,"Varroa mites",48.8,"AZ","West","Mountain"
"233","Arizona",2021,"April-June",26,26000,26000,4200,16,8500,7500,29,"Other",7.1,"AZ","West","Mountain"
"234","Arizona",2018,"April-June",14,18500,19500,2600,13,12000,2100,11,"Disesases",33.2,"AZ","West","Mountain"
"235","Arizona",2020,"January-March",21,29000,32000,6500,20,150,120,NA,"Disesases",0.1,"AZ","West","Mountain"
